timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-04 16:44:00,3136.02,3136.65,3136.02,3136.11,26.6826,2026-01-04 16:44:59.999,83688.43998800,746,6.80910000,21354.77613100,0
2026-01-04 16:45:00,3136.11,3137.94,3136.11,3137.94,21.3488,2026-01-04 16:45:59.999,66975.11016800,1334,17.30980000,54303.51119300,0
2026-01-04 16:46:00,3137.94,3138.64,3137.54,3138.63,79.7229,2026-01-04 16:46:59.999,250171.29929300,1371,58.46290000,183452.24463600,0
2026-01-04 16:47:00,3138.64,3139.26,3138.06,3138.06,64.7834,2026-01-04 16:47:59.999,203356.48308300,1673,28.06660000,88101.46680300,0
2026-01-04 16:48:00,3138.06,3138.22,3138.06,3138.1,15.0149,2026-01-04 16:48:59.999,47119.51332500,353,3.23490000,10151.54241400,0
2026-01-04 16:49:00,3138.09,3138.1,3137.17,3137.5,35.4571,2026-01-04 16:49:59.999,111250.03051800,1138,23.14580000,72620.17655800,0
2026-01-04 16:50:00,3137.49,3137.5,3136.59,3136.94,28.9074,2026-01-04 16:50:59.999,90678.80637300,682,11.73320000,36803.82154200,0
2026-01-04 16:51:00,3136.94,3137.22,3136.94,3137.21,31.6533,2026-01-04 16:51:59.999,99296.97437200,367,29.27300000,91829.64399500,0
2026-01-04 16:52:00,3137.21,3137.38,3137.21,3137.37,14.5824,2026-01-04 16:52:59.999,45748.60691700,228,10.48600000,32897.28096100,0
2026-01-04 16:53:00,3137.37,3137.68,3137.37,3137.67,20.6611,2026-01-04 16:53:59.999,64822.94669500,337,15.79780000,49563.99219400,0
2026-01-04 16:54:00,3137.68,3138.09,3137.67,3138.09,19.2635,2026-01-04 16:54:59.999,60447.16900200,346,12.18080000,38221.40552700,0
2026-01-04 16:55:00,3138.09,3138.09,3137.5,3137.51,51.4369,2026-01-04 16:55:59.999,161402.55952800,694,22.72470000,71306.71324900,0
2026-01-04 16:56:00,3137.51,3138.62,3137.5,3138.61,19.825,2026-01-04 16:56:59.999,62212.28428900,482,12.70500000,39868.85563400,0
2026-01-04 16:57:00,3138.62,3139.2,3138.62,3138.94,15.595,2026-01-04 16:57:59.999,48952.71335400,580,8.75170000,27470.89032300,0
2026-01-04 16:58:00,3138.94,3139.44,3138.94,3139.08,86.9874,2026-01-04 16:58:59.999,273066.24534900,1003,64.24970000,201687.30768400,0
2026-01-04 16:59:00,3139.07,3139.14,3138.81,3139.11,8.2634,2026-01-04 16:59:59.999,25938.53268500,565,6.02190000,18902.48279000,0
2026-01-04 17:00:00,3139.12,3139.68,3138.75,3139.68,20.3323,2026-01-04 17:00:59.999,63828.22664000,1115,14.08760000,44224.66424600,0
2026-01-04 17:01:00,3139.67,3143.6,3139.67,3142.32,678.9054,2026-01-04 17:01:59.999,2133859.76303800,5611,226.31820000,711165.05161300,0
2026-01-04 17:02:00,3142.33,3142.65,3141.29,3142.64,47.7328,2026-01-04 17:02:59.999,149970.80570100,1292,31.99100000,100508.54189900,0
2026-01-04 17:03:00,3142.64,3142.81,3140.92,3140.93,111.2642,2026-01-04 17:03:59.999,349571.75844000,1671,39.69680000,124711.26015800,0
2026-01-04 17:04:00,3140.92,3141.31,3139.78,3139.78,38.1413,2026-01-04 17:04:59.999,119801.49944400,1251,18.01470000,56585.30219400,0
2026-01-04 17:05:00,3139.79,3141.16,3139.79,3140.49,41.5071,2026-01-04 17:05:59.999,130361.12239900,1226,29.88280000,93851.98918900,0
2026-01-04 17:06:00,3140.49,3140.94,3140.47,3140.47,34.7999,2026-01-04 17:06:59.999,109297.00979600,1069,10.57500000,33212.34153100,0
2026-01-04 17:07:00,3140.47,3140.8,3139.88,3139.89,43.0296,2026-01-04 17:07:59.999,135117.39594300,1055,18.37370000,57694.38491700,0
2026-01-04 17:08:00,3139.89,3140.57,3139.43,3140.57,45.2257,2026-01-04 17:08:59.999,142011.32610200,1604,24.92270000,78259.57658600,0
2026-01-04 17:09:00,3140.56,3141.28,3139.88,3139.88,37.3303,2026-01-04 17:09:59.999,117240.41722400,1277,12.98840000,40790.14585000,0
2026-01-04 17:10:00,3139.89,3139.89,3139.43,3139.83,34.7113,2026-01-04 17:10:59.999,108982.35383600,1011,18.34970000,57610.59733100,0
2026-01-04 17:11:00,3139.84,3140.11,3139.08,3139.08,115.4093,2026-01-04 17:11:59.999,362336.37790300,925,13.50530000,42405.48647600,0
2026-01-04 17:12:00,3139.09,3139.44,3138.74,3139.17,96.4068,2026-01-04 17:12:59.999,302629.25840900,1307,59.94250000,188164.41585700,0
2026-01-04 17:13:00,3139.16,3139.17,3138.56,3138.57,7.9497,2026-01-04 17:13:59.999,24953.69999200,421,4.53870000,14247.14541900,0
2026-01-04 17:14:00,3138.57,3138.57,3136.66,3136.8,182.7754,2026-01-04 17:14:59.999,573431.09439000,1207,110.61820000,347046.79795400,0
2026-01-04 17:15:00,3136.81,3138.46,3136.8,3138.46,25.9424,2026-01-04 17:15:59.999,81399.67618200,1136,19.20930000,60271.04109500,0
2026-01-04 17:16:00,3138.46,3138.49,3136.88,3136.89,16.9442,2026-01-04 17:16:59.999,53167.46002700,828,5.33430000,16738.53896600,0
2026-01-04 17:17:00,3136.88,3136.99,3136.02,3136.03,49.938,2026-01-04 17:17:59.999,156640.39545800,855,38.00740000,119221.46346300,0
2026-01-04 17:18:00,3136.02,3136.59,3136.02,3136.58,19.675,2026-01-04 17:18:59.999,61706.65055500,420,17.29730000,54249.09621700,0
2026-01-04 17:19:00,3136.59,3136.81,3135.68,3136.65,64.7701,2026-01-04 17:19:59.999,203133.47184100,1323,24.32230000,76281.09761800,0
2026-01-04 17:20:00,3136.65,3136.69,3136.04,3136.04,6.7196,2026-01-04 17:20:59.999,21074.43267800,505,3.58880000,11255.26439700,0
2026-01-04 17:21:00,3136.04,3138.02,3136.04,3137.91,26.1794,2026-01-04 17:21:59.999,82131.86279200,1158,21.15920000,66379.15207800,0
2026-01-04 17:22:00,3137.9,3140.77,3137.63,3140.77,56.7116,2026-01-04 17:22:59.999,178030.16425200,2158,48.79030000,153171.18390900,0
2026-01-04 17:23:00,3140.77,3140.77,3139.42,3139.42,37.4991,2026-01-04 17:23:59.999,117757.46845300,801,1.40690000,4417.73147900,0
2026-01-04 17:24:00,3139.43,3139.57,3139.09,3139.09,21.0438,2026-01-04 17:24:59.999,66064.97040700,620,9.85910000,30951.80030500,0
2026-01-04 17:25:00,3139.09,3139.61,3138.56,3138.57,31.6421,2026-01-04 17:25:59.999,99333.65836600,1205,19.02770000,59735.04165500,0
2026-01-04 17:26:00,3138.57,3138.75,3137.01,3137.29,79.0996,2026-01-04 17:26:59.999,248172.97167100,1624,20.25000000,63534.73597700,0
2026-01-04 17:27:00,3137.3,3137.79,3137.29,3137.32,37.2962,2026-01-04 17:27:59.999,117010.85707900,494,22.61090000,70937.99265300,0
2026-01-04 17:28:00,3137.33,3137.33,3137.32,3137.32,25.312,2026-01-04 17:28:59.999,79412.07327100,164,22.94310000,71980.07592300,0
2026-01-04 17:29:00,3137.33,3137.74,3137.32,3137.73,6.6755,2026-01-04 17:29:59.999,20943.60617800,271,5.07390000,15918.86472700,0
2026-01-04 17:30:00,3137.74,3137.74,3137.73,3137.73,7.3162,2026-01-04 17:30:59.999,22956.29611600,128,3.58900000,11261.34886000,0
2026-01-04 17:31:00,3137.73,3139.22,3137.73,3138.87,48.0162,2026-01-04 17:31:59.999,150684.62028900,1076,22.55250000,70775.42802400,0
2026-01-04 17:32:00,3138.87,3139.54,3138.19,3139.46,106.5756,2026-01-04 17:32:59.999,334552.75322900,692,97.30130000,305442.66912200,0
2026-01-04 17:33:00,3139.45,3140.48,3139.45,3140.48,33.9163,2026-01-04 17:33:59.999,106501.78147100,596,29.30090000,92009.72326300,0
2026-01-04 17:34:00,3140.48,3140.48,3139.9,3139.9,27.611,2026-01-04 17:34:59.999,86700.82213800,507,16.29110000,51154.56397200,0
