timestamp,open,high,low,close,vwap,volume,count
2026-01-24 12:12:00,2955.43,2955.43,2955.42,2955.43,2955.42,0.11326691,6
2026-01-24 12:13:00,2955.43,2955.43,2955.43,2955.43,2955.43,2.31959478,2
2026-01-24 12:14:00,2955.43,2955.43,2955.42,2955.43,2955.42,0.25757831,5
2026-01-24 12:15:00,2955.43,2955.43,2955.43,2955.43,2955.43,0.0735191,5
2026-01-24 12:16:00,2955.43,2955.43,2955.43,2955.43,2955.43,0.00455367,2
2026-01-24 12:17:00,2955.43,2955.43,2955.42,2955.42,2955.42,0.73184076,6
2026-01-24 12:18:00,2955.43,2955.43,2955.42,2955.43,2955.42,5.87824447,8
2026-01-24 12:19:00,2956.36,2956.39,2956.36,2956.39,2956.37,0.10344512,4
2026-01-24 12:20:00,2956.5,2957.32,2956.5,2957.32,2956.5,1.01344455,2
2026-01-24 12:21:00,2957.32,2957.49,2957.32,2957.49,2957.32,0.04914173,4
2026-01-24 12:22:00,2957.51,2957.67,2957.5,2957.67,2957.56,0.06266128,7
2026-01-24 12:23:00,2958.21,2958.22,2958.21,2958.22,2958.21,0.00429724,2
2026-01-24 12:24:00,2958.22,2958.22,2957.73,2957.73,2957.98,0.52294517,7
2026-01-24 12:25:00,2957.52,2957.52,2957.51,2957.51,2957.51,0.91484936,3
2026-01-24 12:26:00,2956.85,2956.85,2956.81,2956.81,2956.84,1.19983775,4
2026-01-24 12:27:00,2956.81,2956.81,2956.81,2956.81,0.0,0.0,0
2026-01-24 12:28:00,2956.8,2956.81,2956.8,2956.81,2956.8,0.36567824,7
2026-01-24 12:29:00,2956.8,2956.8,2956.8,2956.8,2956.8,0.02047611,1
2026-01-24 12:30:00,2956.81,2957.5,2956.81,2957.5,2956.81,1.59884189,8
2026-01-24 12:31:00,2957.5,2958.73,2957.5,2958.73,2957.99,1.76467379,12
2026-01-24 12:32:00,2958.73,2958.73,2958.73,2958.73,0.0,0.0,0
2026-01-24 12:33:00,2958.74,2959.82,2958.74,2958.74,2959.22,193.68004509,40
2026-01-24 12:34:00,2958.74,2958.75,2958.26,2958.27,2958.73,0.12000599,7
